_RAJ2000 _DEJ2000 PMF SDSS S_N umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag E_B-V_ pm GLON GLAT SpType Teff e_Teff logg e_logg Teff_3D_ e_Teff_3D_ logg_3D_ e_logg_3D_ Mass e_Mass Com Sp _RA.icrs _DE.icrs Plate MJD Fiber RAJ2000 DEJ2000 SNg f_umag f_gmag f_rmag f_imag f_zmag f_pm pmPA Ag GMT Atype log_g_ e_log_g_ chi2 m_Nsp Nsp q_Nsp Type WDcat DR7 Sloan Simbad PMJ _RA _DE file C0 C1 C2 C3 C4 C5 G0 G1 G2 G3 G4 G5 X0 X1 X2 X3 X4 X5 z
233.98600 24.29790 3948-55331-0719 153557.20+241741.65 13 20.36 0.05 19.78 0.02 19.49 0.02 19.39 0.02 19.29 0.06 0.050 32.10 38.0 53.0 DA 6701 59 7.933 0.119 6729 59 7.890 0.120 0.533 0.0553 "" Sp 233.9860 24.2979 3948 55331 719 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00012.fits 26 52 85 83 91 75 5 5 12 15 16 8 6563 4860 4340 4102 3969 3888 0
340.87620 -1.57860 4363-55537-0716 224326.16-013516.87 15 20.67 0.06 19.51 0.03 19.35 0.02 19.39 0.02 19.31 0.05 0.061 7.00 67.3 -50.1 DA 7962 45 6.561 0.125 7959 45 6.360 0.120 0.167 0.0053 "" Sp 340.8762 -1.5786 4363 55537 716 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00013.fits 22 87 124 129 232 280 4 7 8 6 10 13 6563 4860 4340 4102 3969 3888 0
2.00180 -2.85910 4365-55539-0350 000758.17-024941.85 20 19.41 0.03 18.94 0.02 18.70 0.02 18.67 0.01 18.65 0.04 0.038 48.50 97.9 -63.6 DA 6948 41 7.373 0.078 6980 41 7.270 0.080 0.299 0.0240 "" Sp 2.0018 -2.8591 4365 55539 350 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00014.fits 35 85 116 190 185 192 4 5 6 12 9 12 6563 4860 4340 4102 3969 3888 0
1.84690 -2.59820 4365-55539-0400 000720.18-023456.03 15 19.47 0.04 19.03 0.02 18.82 0.02 18.78 0.03 18.80 0.04 0.038 0.00 97.8 -63.3 DA 6760 57 7.426 0.119 6793 57 7.360 0.120 0.327 0.0382 "" Sp 1.8469 -2.5982 4365 55539 400 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00015.fits 25 68 101 118 142 156 6 7 8 8 12 17 6563 4860 4340 4102 3969 3888 0
32.12160 -5.82830 4394-55924-0504 020832.20-054928.80 20 19.16 0.03 18.56 0.03 18.31 0.02 18.18 0.02 18.18 0.03 0.022 143.40 167.1 -61.9 DA 6417 49 7.792 0.098 6446 49 7.770 0.100 0.485 0.0412 "" Sp 32.1216 -5.8283 4394 55924 504 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00016.fits 40 114 194 282 278 333 4 5 9 14 14 15 6563 4860 4340 4102 3969 3888 0
338.46870 5.80380 4410-56187-0154 223354.71+054706.61 19 19.23 0.03 19.42 0.02 19.74 0.02 20.06 0.03 20.31 0.13 0.139 2.50 72.5 -43.2 DA 37544 438 7.814 0.067 37544 438 7.810 0.070 0.574 0.0275 "" Sp 338.4687 5.8038 4410 56187 154 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00017.fits 16 48 90 101 119 99 11 12 10 14 12 16 6563 4860 4340 4102 3969 3888 0
180.06330 40.03190 4697-55660-0120 120015.84+400142.33 13 20.68 0.07 19.64 0.03 19.57 0.02 19.69 0.03 19.61 0.07 0.026 2.00 159.1 73.3 DA 8486 51 6.607 0.142 8471 51 6.370 0.140 0.179 0.0010 "" Sp 180.0633 40.0319 4697 55660 120 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00018.fits 28 86 100 119 188 206 5 9 7 7 12 13 6563 4860 4340 4102 3969 3888 0
227.14340 32.70470 4720-55691-0422 150832.77+324212.90 11 20.62 0.05 19.57 0.02 19.50 0.03 19.57 0.03 19.49 0.06 0.020 3.50 52.0 59.9 DA 7942 57 6.506 0.134 7940 57 6.300 0.130 0.165 0.0034 "" Sp 227.1434 32.7047 4720 55691 422 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00019.fits 23 48 113 101 179 198 6 5 9 9 10 13 6563 4860 4340 4102 3969 3888 0
144.14670 1.50570 4742-55660-0098 093631.75+012658.81 11 20.98 0.09 19.91 0.02 19.77 0.02 19.72 0.03 19.59 0.09 0.053 11.50 233.2 36.8 DA 7856 58 6.830 0.159 7857 58 6.630 0.160 0.181 0.0152 "" Sp 144.1467 1.5057 4742 55660 98 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00020.fits 20 64 83 105 171 150 6 8 8 10 11 13 6563 4860 4340 4102 3969 3888 0
335.93430 12.60450 5042-55856-0164 222352.41+123523.16 11 21.59 0.10 20.58 0.03 20.41 0.03 20.40 0.03 20.16 0.09 0.073 1.30 76.1 -36.5 DA 7551 62 6.622 0.180 7564 62 6.440 0.180 0.169 0.0107 "" Sp 335.9343 12.6045 5042 55856 164 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00021.fits 15 25 70 69 95 117 6 6 12 9 11 14 6563 4860 4340 4102 3969 3888 0
336.30480 12.92400 5048-56218-0670 222528.28+125441.18 24 18.11 0.02 18.41 0.02 18.81 0.02 19.11 0.02 19.42 0.06 0.080 3.70 76.7 -36.5 DA 40714 605 7.782 0.056 -- -- -- -- -- -- "" Sp 336.3048 12.9240 5048 56218 670 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00022.fits 20 90 145 193 148 147 5 13 14 18 12 20 6563 4860 4340 4102 3969 3888 0
336.85370 6.61730 5057-56209-0258 222727.06+063528.39 15 19.70 0.03 19.56 0.03 19.73 0.02 19.89 0.03 20.07 0.11 0.120 15.40 71.7 -41.5 DA 32042 302 8.954 0.059 -- -- -- -- -- -- "" Sp 336.8537 6.6173 5057 56209 258 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00023.fits 12 50 79 84 110 176 8 14 18 12 15 22 6563 4860 4340 4102 3969 3888 0
339.62800 7.13950 5058-56208-0140 223824.51+071055.76 25 18.56 0.03 18.86 0.02 19.28 0.02 19.58 0.02 19.81 0.09 0.111 7.80 74.9 -43.0 DA 50761 1095 7.826 0.068 50761 1095 7.830 0.070 0.610 0.0243 "" Sp 339.6280 7.1395 5058 56208 140 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00024.fits 17 58 91 164 173 175 7 9 9 14 21 19 6563 4860 4340 4102 3969 3888 0
335.90690 7.79660 5069-56211-0108 222337.28+074438.11 21 18.56 0.02 18.76 0.02 19.16 0.02 19.48 0.02 19.76 0.09 0.111 34.00 71.9 -40.0 DA 34194 211 8.118 0.050 -- -- -- -- -- -- "" Sp 335.9069 7.7966 5069 56211 108 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00025.fits 20 88 172 218 213 268 7 8 13 14 12 14 6563 4860 4340 4102 3969 3888 0
27.79990 18.21310 5118-55830-0642 015120.67+181247.94 13 20.40 0.08 19.75 0.03 19.64 0.02 19.72 0.03 19.78 0.12 0.044 20.30 142.3 -42.4 DA 8807 47 6.817 0.107 8777 47 6.550 0.110 0.181 0.0061 "" Sp 27.7999 18.2131 5118 55830 642 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00026.fits 19 64 101 144 161 278 7 9 10 10 10 16 6563 4860 4340 4102 3969 3888 0
23.36590 16.18790 5137-55833-0768 013326.29+161132.82 12 20.79 0.07 19.89 0.02 19.61 0.04 19.49 0.02 19.38 0.06 0.072 7.60 137.4 -45.5 DA 6854 62 6.607 0.191 6881 62 6.490 0.190 0.177 0.0137 "" Sp 23.3659 16.1879 5137 55833 768 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00027.fits 27 59 75 87 111 161 4 6 9 8 11 14 6563 4860 4340 4102 3969 3888 0
134.54150 14.19420 5295-55978-0340 085812.50+141345.21 18 19.93 0.04 18.77 0.02 18.65 0.02 18.71 0.02 18.89 0.04 0.042 0.90 213.9 34.4 DA 8168 34 6.639 0.094 8160 34 6.420 0.090 0.176 0.0013 "" Sp 134.5415 14.1942 5295 55978 340 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00028.fits 48 153 229 352 306 407 5 6 7 11 8 12 6563 4860 4340 4102 3969 3888 0
144.80500 13.67350 5318-55983-0514 093910.85+134154.10 20 19.46 0.03 18.62 0.03 18.30 0.01 18.18 0.01 18.14 0.03 0.035 47.10 219.7 43.3 DA 6194 46 7.841 0.101 6213 46 7.830 0.100 0.514 0.0428 "" Sp 144.8050 13.6735 5318 55983 514 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00029.fits 74 120 140 168 172 189 4 8 8 18 22 23 6563 4860 4340 4102 3969 3888 0
171.38740 8.72700 5369-56272-0988 112536.84+084504.54 20 18.55 0.02 18.71 0.02 19.12 0.02 19.46 0.03 19.56 0.10 0.061 19.60 251.1 62.6 DA 31412 241 7.868 0.046 -- -- -- -- -- -- "" Sp 171.3874 8.7270 5369 56272 988 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00030.fits 29 128 277 220 237 271 6 10 15 10 13 15 6563 4860 4340 4102 3969 3888 0
225.16190 8.96440 5481-55983-0697 150045.94+085753.52 11 21.40 0.11 20.50 0.03 20.48 0.03 20.47 0.04 20.24 0.12 0.035 0.00 8.3 54.5 DA 8510 59 6.624 0.149 8494 59 6.390 0.150 0.180 0.0012 "" Sp 225.1619 8.9644 5481 55983 697 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00031.fits 17 35 74 109 126 139 7 4 9 10 12 13 6563 4860 4340 4102 3969 3888 0
229.15530 14.58570 5486-56030-0034 151640.16+143320.58 11 20.70 0.05 19.81 0.02 19.72 0.02 19.73 0.03 19.65 0.07 0.047 0.00 20.0 54.0 DA 7828 59 6.568 0.149 7831 59 6.370 0.150 0.166 0.0063 "" Sp 229.1553 14.5857 5486 56030 34 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00032.fits 21 74 119 143 204 150 7 10 11 10 13 9 6563 4860 4340 4102 3969 3888 0
143.87870 56.31310 5710-56658-0628 093515.96+562042.11 38 17.09 0.03 17.52 0.03 18.02 0.03 18.43 0.03 18.63 0.05 0.021 35.20 159.0 44.7 DA 37073 222 7.787 0.030 37073 222 7.790 0.030 0.564 0.0117 "" Sp 143.8787 56.3131 5710 56658 628 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00033.fits 61 230 371 495 457 581 9 8 8 13 12 23 6563 4860 4340 4102 3969 3888 0
139.70200 61.34080 5713-56686-0018 091845.56+612215.10 32 17.67 0.02 17.92 0.02 18.32 0.02 18.66 0.02 18.96 0.05 0.029 7.00 153.5 41.0 DA 30194 141 7.874 0.027 -- -- -- -- -- -- "" Sp 139.7020 61.3408 5713 56686 18 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00034.fits 38 235 397 685 563 436 6 8 9 17 15 16 6563 4860 4340 4102 3969 3888 0
143.16100 49.51540 5731-56363-0928 093248.20+492931.26 11 19.88 0.03 19.47 0.03 19.36 0.02 19.32 0.02 19.30 0.05 0.012 16.10 168.5 46.1 DA 7185 73 7.505 0.130 7214 73 7.390 0.130 0.338 0.0419 "" Sp 143.1610 49.5154 5731 56363 928 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00035.fits 30 48 146 116 224 183 9 5 13 9 17 16 6563 4860 4340 4102 3969 3888 0
139.35670 48.57660 5733-56575-0194 091725.51+483354.94 23 18.43 0.02 18.73 0.03 19.18 0.03 19.47 0.04 19.72 0.08 0.018 6.00 170.4 43.8 DA 33501 209 7.814 0.050 -- -- -- -- -- -- "" Sp 139.3567 48.5766 5733 56575 194 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00036.fits 30 139 210 222 283 223 7 11 12 9 16 13 6563 4860 4340 4102 3969 3888 0
144.99230 19.06660 5766-56248-0066 094008.22+190354.97 68 16.10 0.01 16.32 0.03 16.78 0.02 17.11 0.01 17.46 0.02 0.024 19.50 212.8 45.5 DA 28542 58 7.468 0.010 -- -- -- -- -- -- "" Sp 144.9923 19.0666 5766 56248 66 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00037.fits 213 960 1825 2206 2396 1845 5 7 8 10 11 11 6563 4860 4340 4102 3969 3888 0
138.17220 26.94760 5779-56338-0214 091235.61+265828.45 59 16.07 0.01 16.46 0.02 16.96 0.02 17.35 0.01 17.67 0.02 0.030 32.90 199.9 41.7 DA 54150 443 8.041 0.031 -- -- -- -- -- -- "" Sp 138.1722 26.9476 5779 56338 214 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00038.fits 105 370 648 583 680 462 5 9 12 10 16 10 6563 4860 4340 4102 3969 3888 0
143.90980 21.46600 5786-56251-0518 093537.03+212904.01 12 20.81 0.06 19.83 0.02 19.73 0.02 19.67 0.03 19.57 0.07 0.029 2.20 209.1 45.3 DA 7846 56 6.692 0.161 7848 56 6.500 0.160 0.176 0.0088 "" Sp 143.9098 21.4660 5786 56251 518 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00039.fits 28 68 124 114 176 139 5 7 9 7 13 11 6563 4860 4340 4102 3969 3888 0
142.74910 33.63410 5805-56336-0478 093103.31+333947.77 35 16.85 0.02 17.16 0.08 17.67 0.03 17.98 0.02 19.00 0.05 0.016 57.70 191.6 46.7 DA 30184 122 7.944 0.024 -- -- -- -- -- -- "" Sp 142.7491 33.6341 5805 56336 478 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00040.fits 84 395 706 907 765 710 7 10 11 12 12 17 6563 4860 4340 4102 3969 3888 0
207.86510 20.98680 5869-56064-0329 135123.30+205947.82 11 20.63 0.06 19.79 0.03 19.68 0.03 19.56 0.02 19.41 0.07 0.027 6.90 12.0 75.0 DA 7342 62 6.629 0.143 7361 62 6.460 0.140 0.169 0.0093 "" Sp 207.8651 20.9868 5869 56064 329 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00041.fits 28 63 74 117 154 161 4 7 7 8 12 15 6563 4860 4340 4102 3969 3888 0
166.35820 18.12210 5888-56041-0688 110514.47+180613.45 14 20.46 0.05 19.59 0.02 19.49 0.02 19.50 0.03 19.43 0.06 0.022 3.40 227.6 64.0 DA 8003 44 6.566 0.127 7999 44 6.360 0.130 0.167 0.0059 "" Sp 166.3582 18.1221 5888 56041 688 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00042.fits 39 74 181 191 259 255 6 5 11 10 14 10 6563 4860 4340 4102 3969 3888 0
219.67350 18.04950 5899-56038-0121 143846.97+180322.22 11 20.38 0.05 19.76 0.02 19.51 0.02 19.45 0.02 19.37 0.05 0.033 51.80 18.4 63.7 DA 6620 80 7.981 0.164 6649 80 7.940 0.160 0.559 0.0786 "" Sp 219.6735 18.0495 5899 56038 121 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00043.fits 33 69 107 123 156 157 5 5 8 17 16 18 6563 4860 4340 4102 3969 3888 0
220.96100 21.69720 5904-56046-0858 144355.84+214007.24 12 20.32 0.05 19.53 0.03 19.39 0.02 19.28 0.02 19.32 0.06 0.027 2.70 27.1 63.9 DA 7330 50 6.619 0.138 7349 50 6.450 0.140 0.168 0.0095 "" Sp 220.9610 21.6972 5904 56046 858 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00044.fits 25 68 103 138 224 171 4 6 7 9 13 14 6563 4860 4340 4102 3969 3888 0
122.82450 54.12370 5945-56213-0024 081117.60+540815.34 13 20.07 0.04 19.55 0.02 19.38 0.02 19.47 0.03 19.40 0.06 0.042 3.69 164.1 33.2 DA 7106 70 7.877 0.119 7129 70 7.790 0.120 0.498 0.0494 "" Sp 122.8245 54.1237 5945 56213 24 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00045.fits 15 49 83 108 123 126 5 7 13 16 16 15 6563 4860 4340 4102 3969 3888 0
119.97950 55.24320 5945-56213-0557 080000.38+551554.46 11 21.17 0.10 20.17 0.02 20.13 0.03 20.15 0.04 19.90 0.10 0.044 8.00 162.7 31.6 DA 8310 58 6.687 0.160 8299 58 6.460 0.160 0.176 0.0037 "" Sp 119.9795 55.2432 5945 56213 557 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00046.fits 22 44 80 132 147 134 7 7 10 12 11 9 6563 4860 4340 4102 3969 3888 0
333.34030 29.37490 5955-56456-0516 221319.16+292538.96 26 18.98 0.03 18.42 0.01 18.18 0.01 18.15 0.01 18.11 0.03 0.071 148.10 86.2 -22.0 DA 6476 34 8.160 0.070 -- -- -- -- -- -- "" Sp 333.3403 29.3749 5955 56456 516 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00047.fits 61 107 143 107 145 118 4 5 10 9 17 13 6563 4860 4340 4102 3969 3888 0
193.39040 26.96590 5972-56334-0505 125331.46+265806.64 23 19.82 0.03 19.33 0.03 19.19 0.02 19.20 0.03 19.22 0.05 0.009 19.70 14.1 89.5 DA 7117 39 8.228 0.066 -- -- -- -- -- -- "" Sp 193.3904 26.9659 5972 56334 505 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00048.fits 27 74 105 103 107 110 4 6 7 8 13 12 6563 4860 4340 4102 3969 3888 0
209.42530 28.01030 6009-56313-0618 135734.71+280111.35 43 16.62 0.02 16.86 0.02 17.33 0.02 17.66 0.01 17.95 0.03 0.015 39.10 40.2 75.3 DA 31566 95 7.939 0.019 31566 95 7.940 0.020 0.617 0.0090 "" Sp 209.4253 28.0103 6009 56313 618 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00049.fits 92 481 869 1121 1042 912 6 10 10 11 11 14 6563 4860 4340 4102 3969 3888 0
241.44760 41.38990 6052-56092-0840 160548.42+412252.19 12 20.50 0.05 19.49 0.02 19.38 0.02 19.33 0.02 19.26 0.06 0.010 2.80 65.7 48.0 DA 7689 62 6.897 0.156 7697 62 6.710 0.160 0.193 0.0193 "" Sp 241.4476 41.3899 6052 56092 840 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00050.fits 19 66 131 131 238 227 5 7 9 10 12 12 6563 4860 4340 4102 3969 3888 0
